Location,Mean,Variance,max ping,Suggested Delay,Suggested Rollback,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,179.5,105.5689655,346.5847099,11,10,175,175,183,175,189,175,175,175,211,177,219,175,175,183,175,175,175,177,175,176,175,182,175,176,175,181,179,176,176,175,,,,,,,,,,,,,,,,,,,
,106.9,4.437931034,135.2901109,7,2,106,106,105,114,106,106,107,106,106,111,106,107,106,105,106,106,107,106,108,112,107,106,110,106,106,106,105,106,107,106,,,,,,,,,,,,,,,,,,,
,240.6333333,22.24022989,304.1530768,15,4,242,239,247,237,244,240,240,238,239,243,237,238,251,238,236,238,237,241,237,243,237,241,256,239,237,248,237,238,244,237,,,,,,,,,,,,,,,,,,,
,37.96795918,60.29072075,286.3764659,3,15,34.33,39.41,35.8,36.28,50.8,35.88,35.67,33.34,33.78,35.23,35.34,33.83,36.24,36.44,34.23,42.41,36.01,34.65,34.73,33.32,36.45,33.62,40.32,37.31,36.16,35.3,35.39,34.45,38.31,36.29,35.54,33.99,34.32,36.16,33.36,34.54,33.69,40.01,44.22,36.01,82.02,34.33,35.06,46.01,34.18,43.01,54.01,42.19,36.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.266666667,,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, Pareto model,http://blog.simiacryptus.com/posts/modeling_network_latency/#conclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Variance = ,105.5689655,(s^2*a)/((a-1)^2(a-2)),,,x^2/a(a-2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Mean =,179.5,as/(a-1),,,,a = ,(v-sqrt(v(v+x^2))/v),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,s = ,x(a-1)/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,a = ,18.49873423,,,179.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,s = ,169.7966334,,,105.5689655,,305.2056998,305.2056998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,P(X>x), (s/x)^a,,,,,105.5689655,105.5689655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,P(X<x),1-(s/x)^a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,p=,0.999998148,x = s(1-p)^-1/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.85185E-06,346.5847099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,11,10,,,p=,(x-vx/(sqrt(v(v+x)) + v))f^(-v/(sqrt(v(v+x)) + v)),,,,,346.5847099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
